value_date,amount,type,narration,utr
2026-02-06,24090.85,CR,NEFT RAZORPAYSETL125 CR,UTR-99626126
2026-02-07,25463.48,CR,NEFT-RAZORPAY-SETL126-CR,UTR-95921483
2026-02-09,19369.51,CR,IMPS/RAZORPAY/SETL127,UTR-24350581
2026-02-10,27216.33,CR,RTGS RAZORPAY SETTLEMENT 128,UTR-11707258
2026-02-11,19293.20,CR,NEFT RZPSETL129 COLLECTIONS CR,UTR-67675394
2026-02-12,20747.11,CR,NEFT RAZORPAYSETL130 CR,UTR-48504475
2026-02-13,16450.45,CR,NEFT-RAZORPAY-SETL131-CR,UTR-34582938
2026-02-16,19523.13,CR,IMPS/RAZORPAY/SETL132,UTR-28097393
2026-02-17,21724.54,CR,RTGS RAZORPAY SETTLEMENT 133,UTR-48499183
2026-02-18,18568.20,CR,NEFT RZPSETL134 COLLECTIONS CR,UTR-33788422
2026-02-19,15440.23,CR,NEFT RAZORPAYSETL135 CR,UTR-65750197
2026-02-20,21116.95,CR,NEFT-RAZORPAY-SETL136-CR,UTR-24050363
2026-02-21,20455.55,CR,IMPS/RAZORPAY/SETL137,UTR-51575820
2026-02-23,16178.94,CR,RTGS RAZORPAY SETTLEMENT 138,UTR-34794204
2026-02-24,23098.22,CR,NEFT RZPSETL139 COLLECTIONS CR,UTR-66188606
2026-02-25,25278.11,CR,NEFT RAZORPAYSETL140 CR,UTR-61828569
2026-02-26,18959.57,CR,NEFT-RAZORPAY-SETL141-CR,UTR-94800140
2026-02-27,17135.81,CR,IMPS/RAZORPAY/SETL142,UTR-22923537
2026-03-02,22172.65,CR,RTGS RAZORPAY SETTLEMENT 143,UTR-20427087
2026-03-03,17324.65,CR,NEFT RZPSETL144 COLLECTIONS CR,UTR-46101866
2026-03-04,23309.56,CR,NEFT RAZORPAYSETL145 CR,UTR-80650443
2026-03-05,26257.50,CR,NEFT-RAZORPAY-SETL146-CR,UTR-50787288
2026-03-06,15340.44,CR,IMPS/RAZORPAY/SETL147,UTR-43580052
2026-03-07,21060.20,CR,RTGS RAZORPAY SETTLEMENT 148,UTR-31247560
2026-03-09,24223.38,CR,NEFT RZPSETL149 COLLECTIONS CR,UTR-46792649
2026-03-09,24223.38,CR,NEFT RZPSETL149 COLLECTIONS CR,UTR-46792649
2026-03-10,22145.25,CR,NEFT RAZORPAYSETL150 CR,UTR-26594775
2026-03-10,22145.25,CR,NEFT RAZORPAYSETL150 CR,UTR-26594775
2026-03-11,17130.94,CR,NEFT-RAZORPAY-SETL151-CR,UTR-14714574
2026-03-12,20163.98,CR,IMPS/RAZORPAY/SETL152,UTR-91188623
2026-03-13,21239.25,CR,RTGS RAZORPAY SETTLEMENT 153,UTR-19373572
2026-03-16,20275.51,CR,NEFT RZPSETL154 COLLECTIONS CR,UTR-43663494
2026-03-17,16331.04,CR,NEFT RAZORPAYSETL155 CR,UTR-73547201
2026-03-18,25455.20,CR,NEFT-RAZORPAY-SETL156-CR,UTR-62500218
2026-03-19,23115.83,CR,IMPS/RAZORPAY/SETL157,UTR-27237728
2026-03-20,25011.98,CR,RTGS RAZORPAY SETTLEMENT 158,UTR-49024808
2026-03-21,23129.53,CR,NEFT RZPSETL159 COLLECTIONS CR,UTR-90226489
2026-03-23,18555.49,CR,NEFT RAZORPAYSETL160 CR,UTR-75008136
2026-03-24,12676.24,CR,NEFT-RAZORPAY-SETL161-CR,UTR-39193194
2026-03-25,22422.63,CR,IMPS/RAZORPAY/SETL162,UTR-77324959
