value_date,amount,type,narration,utr
2026-02-10,23372.17,CR,RTGS RAZORPAY SETTLEMENT 128,UTR-76841198
2026-02-11,20679.60,CR,NEFT RZPSETL129 COLLECTIONS CR,UTR-25049952
2026-02-12,21532.77,CR,NEFT RAZORPAYSETL130 CR,UTR-30345068
2026-02-13,17101.57,CR,NEFT-RAZORPAY-SETL131-CR,UTR-46304219
2026-02-16,24901.42,CR,IMPS/RAZORPAY/SETL132,UTR-89204406
2026-02-17,22954.40,CR,RTGS RAZORPAY SETTLEMENT 133,UTR-23374622
2026-02-18,23998.35,CR,NEFT RZPSETL134 COLLECTIONS CR,UTR-25124294
2026-02-19,13988.86,CR,NEFT RAZORPAYSETL135 CR,UTR-85746917
2026-02-20,16361.89,CR,NEFT-RAZORPAY-SETL136-CR,UTR-25044841
2026-02-21,24015.96,CR,IMPS/RAZORPAY/SETL137,UTR-34809600
2026-02-23,31252.26,CR,RTGS RAZORPAY SETTLEMENT 138,UTR-35389903
2026-02-24,22401.60,CR,NEFT RZPSETL139 COLLECTIONS CR,UTR-86113768
2026-02-25,19414.52,CR,NEFT RAZORPAYSETL140 CR,UTR-65922532
2026-02-26,14980.38,CR,NEFT-RAZORPAY-SETL141-CR,UTR-99945899
2026-02-27,25343.66,CR,IMPS/RAZORPAY/SETL142,UTR-62503928
2026-02-27,25343.66,CR,IMPS/RAZORPAY/SETL142,UTR-62503928
2026-03-02,23439.68,CR,RTGS RAZORPAY SETTLEMENT 143,UTR-27243783
2026-03-03,27631.17,CR,NEFT RZPSETL144 COLLECTIONS CR,UTR-89445660
2026-03-04,18458.62,CR,NEFT RAZORPAYSETL145 CR,UTR-91590159
2026-03-05,27197.74,CR,NEFT-RAZORPAY-SETL146-CR,UTR-29659025
2026-03-06,21515.05,CR,IMPS/RAZORPAY/SETL147,UTR-63474949
2026-03-07,21724.54,CR,RTGS RAZORPAY SETTLEMENT 148,UTR-35989712
2026-03-09,20846.91,CR,NEFT RZPSETL149 COLLECTIONS CR,UTR-83111066
2026-03-10,24086.41,CR,NEFT RAZORPAYSETL150 CR,UTR-80813436
2026-03-11,20288.08,CR,NEFT-RAZORPAY-SETL151-CR,UTR-32861481
2026-03-12,23293.90,CR,IMPS/RAZORPAY/SETL152,UTR-86285089
2026-03-13,17075.15,CR,RTGS RAZORPAY SETTLEMENT 153,UTR-34010057
2026-03-16,23812.46,CR,NEFT RZPSETL154 COLLECTIONS CR,UTR-37122279
2026-03-17,18710.07,CR,NEFT RAZORPAYSETL155 CR,UTR-43574644
2026-03-18,13082.28,CR,NEFT-RAZORPAY-SETL156-CR,UTR-59606849
2026-03-19,19727.61,CR,IMPS/RAZORPAY/SETL157,UTR-49328116
2026-03-20,20834.18,CR,RTGS RAZORPAY SETTLEMENT 158,UTR-14038269
2026-03-21,22375.17,CR,NEFT RZPSETL159 COLLECTIONS CR,UTR-69704957
2026-03-23,21166.84,CR,NEFT RAZORPAYSETL160 CR,UTR-64657103
2026-03-24,21511.24,CR,NEFT-RAZORPAY-SETL161-CR,UTR-61425026
2026-03-25,23198.99,CR,IMPS/RAZORPAY/SETL162,UTR-52405755
